sourceClass,targetClass,wideRowNumber,targetSlot,targetValue,exprValue
AssayMethod,protocolSteps,0,measure,exvol,
AssayMethod,protocolSteps,0,method,,
AssayMethod,protocolSteps,0,value,{{extractionVolMl}},
AssayMethod,protocolSteps,0,unit,mL,
AssayMethod,protocolSteps,0,aggregation,sin,
AssayMethod,protocolSteps,1,measure,lod,
AssayMethod,protocolSteps,1,method,,
AssayMethod,protocolSteps,1,value,{{lod}},
AssayMethod,protocolSteps,1,unit,unitless,
AssayMethod,protocolSteps,1,aggregation,sin,
AssayMethod,protocolSteps,2,measure,,
AssayMethod,protocolSteps,2,method,methodConc,
AssayMethod,protocolSteps,2,value,{{methodConc}},
AssayMethod,protocolSteps,2,unit,NA,
AssayMethod,protocolSteps,2,aggregation,NA,
AssayMethod,protocolSteps,3,measure,percRec,
AssayMethod,protocolSteps,3,method,,
AssayMethod,protocolSteps,3,value,{{surrogateRecovery}},
AssayMethod,protocolSteps,3,unit,perc,
AssayMethod,protocolSteps,3,aggregation,sin,
AssayMethod,protocolSteps,4,measure,,
AssayMethod,protocolSteps,4,method,qaqc,
AssayMethod,protocolSteps,4,value,{{qualityAssQC}},
AssayMethod,protocolSteps,4,unit,NA,
AssayMethod,protocolSteps,4,aggregation,NA,
AssayMethod,protocolSteps,5,measure,,
AssayMethod,protocolSteps,5,method,inhibMeth,
AssayMethod,protocolSteps,5,value,{{inhibition}},
AssayMethod,protocolSteps,5,unit,NA,
AssayMethod,protocolSteps,5,aggregation,NA,
AssayMethod,protocolSteps,6,measure,,
AssayMethod,protocolSteps,6,method,pcrmeth,
AssayMethod,protocolSteps,6,value,{{methodPcr}},
AssayMethod,protocolSteps,6,unit,NA,
AssayMethod,protocolSteps,6,aggregation,NA,
AssayMethod,protocolSteps,7,measure,loq,
AssayMethod,protocolSteps,7,method,,
AssayMethod,protocolSteps,7,value,{{loq}},
AssayMethod,protocolSteps,7,unit,unitless,
AssayMethod,protocolSteps,7,aggregation,sin,
